state,population,age,age_x_population,ave_age,population_eligible,ave_age_eligible,population_eligible_white,ave_age_eligible_white,urban_population,pct_urban,pct_rural,state,hc_key,state_abbv,votes_dem2004,votes_rep2004,votes_total2004,pct_dem2004,pct_rep2004,pct_dem_rep_gap2004,pct_dem_rep_gap_abs2004,r_wins2004,winner2004,votes_dem2008,votes_rep2008,votes_total2008,pct_dem2008,pct_rep2008,pct_dem_rep_gap2008,pct_dem_rep_gap_abs2008,r_wins2008,winner2008,votes_dem2012,votes_rep2012,votes_3rd2012,votes_total2012,pct_dem2012,pct_rep2012,pct_dem_rep_gap2012,pct_dem_rep_gap_abs2012,r_wins2012,winner2012,votes_total2016,votes_dem2016,votes_rep2016,votes_lib2016,pct_dem2016,pct_rep2016,pct_dem_rep_gap2016,pct_dem_rep_gap_abs2016,r_wins2016,winner2016,r_wins_last4,white_population,pct_white,white_population_eligible,pct_white_eligible,hispanic_population,pct_hispanic,hispanic_population_eligible,pct_hispanic_eligible,native_american_population,pct_native_american,native_american_population_eligible,pct_native_american_eligible,black_population,pct_black,black_population_eligible,pct_black_eligible,pacific_islander_population,pct_pacific_islander,pacific_islander_population_eligible,pct_pacific_islander_eligible,asian_population,pct_asian,asian_population_eligible,pct_asian_eligible,two_or_more_races_population,pct_two_or_more_races,two_or_more_races_population_eligible,pct_two_or_more_races_eligible,other_population,pct_other,other_population_eligible,pct_other_eligible,ec_votes,ec_votes_per_voter,ec_representation_pct_ave,senate_representation_pct_ave
Maryland,5773481,80800,216149071,37.4,4420517,46.2,2529464,48.8,1312129.0,22.7,77.3,Maryland,us-md,MD,1334493.0,1024703.0,2386678.0,55.9,42.9,13.0,13.0,False,democrat,1629467.0,959862.0,2631596.0,61.9,36.5,25.4,25.4,False,democrat,1677844.0,971869.0,"57,614",2707327.0,62.0,35.9,26.1,26.1,False,democrat,2781446.0,1677928.0,943169.0,79605.0,60.3,33.9,26.4,26.4,False,democrat,0,3157916,54.7,2529464,57.2,470629,8.2,322305,7.3,13815,0.2,10722,0.2,1674206,29.0,1239773,28.0,2412,0.0,1937,0.0,316693,5.5,245536,5.6,125838,2.2,63852,1.4,11972,0.2,6928,0.2,10,2.26217883564e-06,100.0,107.0
Massachusetts,6547532,80800,252559806,38.6,5128609,46.8,4029373,48.6,2015457.0,30.8,69.2,Massachusetts,us-ma,MA,1803800.0,1071109.0,2912388.0,61.9,36.8,25.1,25.1,False,democrat,1904097.0,1108854.0,3080985.0,61.8,36.0,25.8,25.8,False,democrat,1921290.0,1188314.0,"58,163",3167767.0,60.7,37.5,23.2,23.2,False,democrat,3325046.0,1995196.0,1090893.0,138018.0,60.0,32.8,27.2,27.2,False,democrat,0,4984715,76.1,4029373,78.6,627651,9.6,416772,8.1,10778,0.2,8219,0.2,391690,6.0,288520,5.6,1467,0.0,1189,0.0,347490,5.3,269084,5.2,122194,1.9,69581,1.4,61547,0.9,45871,0.9,11,2.14483108383e-06,95.0,93.0
Michigan,9883479,80800,377166824,38.2,7539411,47.3,5960578,48.5,2203460.0,22.3,77.7,Michigan,us-mi,MI,2479183.0,2313746.0,4839252.0,51.2,47.8,3.4,3.4,False,democrat,2872579.0,2048639.0,5001766.0,57.4,41.0,16.4,16.4,False,democrat,2564569.0,2115256.0,"51,136",4730961.0,54.2,44.7,9.5,9.5,False,democrat,4799284.0,2268839.0,2279543.0,172136.0,47.3,47.5,-0.2,0.2,True,republican,1,7569819,76.6,5960578,79.1,436353,4.4,264506,3.5,54665,0.6,40071,0.5,1383725,14.0,998278,13.2,2170,0.0,1693,0.0,236487,2.4,175248,2.3,190395,1.9,93716,1.2,9865,0.1,5321,0.1,16,2.12218169297e-06,94.0,63.0
Minnesota,5303841,80800,198225448,37.4,4019778,46.6,3462564,48.0,1422403.0,26.8,73.2,Minnesota,us-mn,MN,1445014.0,1346695.0,2828387.0,51.1,47.6,3.5,3.5,False,democrat,1573354.0,1275409.0,2910369.0,54.1,43.8,10.3,10.3,False,democrat,1546167.0,1320225.0,"70,169",2936561.0,52.7,45.0,7.7,7.7,False,democrat,2944813.0,1367716.0,1322951.0,112972.0,46.4,44.9,1.5,1.5,False,democrat,0,4405062,83.1,3462564,86.1,250257,4.7,148835,3.7,55421,1.0,38010,0.9,269139,5.1,174686,4.3,1860,0.0,1351,0.0,212995,4.0,146013,3.6,103160,1.9,45057,1.1,5947,0.1,3262,0.1,10,2.48769956948e-06,110.0,118.0
Mississippi,2967232,80800,108589205,36.6,2211677,46.2,1348229,48.4,242683.0,8.2,91.8,Mississippi,us-ms,MS,458094.0,684981.0,1152145.0,39.8,59.5,-19.7,19.7,True,republican,554662.0,724597.0,1289865.0,43.0,56.2,-13.2,13.2,True,republican,562949.0,710746.0,"11,889",1285584.0,43.8,55.3,-11.5,11.5,True,republican,1209357.0,485131.0,700714.0,14435.0,40.1,57.9,-17.8,17.8,True,republican,4,1722270,58.0,1348229,61.0,81478,2.7,54974,2.5,13845,0.5,9440,0.4,1093467,36.9,764205,34.6,948,0.0,732,0.0,25477,0.9,19439,0.9,27919,0.9,13725,0.6,1828,0.1,933,0.0,6,2.71287353443e-06,120.0,215.0
Missouri,5988857,80800,226669824,37.8,4563421,47.0,3789244,48.0,1519194.0,25.4,74.6,Missouri,us-mo,MO,1259171.0,1455713.0,2731364.0,46.1,53.3,-7.2,7.2,True,republican,1441911.0,1445814.0,2925205.0,49.3,49.4,-0.1,0.1,True,republican,1223796.0,1482440.0,"51,087",2757323.0,44.4,53.8,-9.4,9.4,True,republican,2808605.0,1071068.0,1594511.0,97359.0,38.1,56.8,-18.7,18.7,True,republican,4,4850700,81.0,3789244,83.0,212470,3.5,131812,2.9,24061,0.4,18396,0.4,687130,11.5,489592,10.7,5762,0.1,3917,0.1,97220,1.6,74339,1.6,106142,1.8,53389,1.2,5372,0.1,2732,0.1,10,2.19133847173e-06,97.0,104.0
Montana,989402,80800,38619488,39.0,765839,47.9,689176,48.7,181294.0,18.3,81.7,Montana,us-mt,MT,173710.0,266063.0,450445.0,38.6,59.1,-20.5,20.5,True,republican,231667.0,242763.0,490302.0,47.2,49.5,-2.3,2.3,True,republican,201839.0,267928.0,"14,281",484048.0,41.7,55.4,-13.7,13.7,True,republican,494526.0,177709.0,279240.0,28037.0,35.9,56.5,-20.6,20.6,True,republican,4,868616,87.8,689176,90.0,28565,2.9,17420,2.3,59901,6.1,38948,5.1,3743,0.4,2617,0.3,609,0.1,464,0.1,6138,0.6,4838,0.6,21290,2.2,12009,1.6,540,0.1,367,0.0,3,3.91727242932e-06,173.0,620.0
Nebraska,1826300,80800,67681475,37.1,1367079,46.7,1166920,48.1,721233.0,39.5,60.5,Nebraska,us-ne,NE,254328.0,512814.0,778186.0,32.7,65.9,-33.2,33.2,True,republican,333319.0,452979.0,801281.0,41.6,56.5,-14.9,14.9,True,republican,302081.0,475064.0,"17,234",794379.0,38.0,59.8,-21.8,21.8,True,republican,844227.0,284494.0,495961.0,38946.0,33.7,58.7,-25.0,25.0,True,republican,4,1499717,82.1,1166920,85.4,167403,9.2,98219,7.2,14797,0.8,9637,0.7,80958,4.4,54980,4.0,966,0.1,686,0.1,31917,1.7,23415,1.7,28426,1.6,12176,0.9,2116,0.1,1046,0.1,5,3.65743311103e-06,161.0,347.0
Nevada,2700525,80800,98619477,36.5,2035517,45.7,1199284,49.0,2240744.0,83.0,17.0,Nevada,us-nv,NV,397190.0,418690.0,829587.0,47.9,50.5,-2.6,2.6,True,republican,533736.0,412827.0,967848.0,55.1,42.7,12.4,12.4,False,democrat,531373.0,463567.0,"19,978",1014918.0,52.4,45.7,6.7,6.7,False,democrat,1125385.0,539260.0,512058.0,37384.0,47.9,45.5,2.4,2.4,False,democrat,1,1462067,54.1,1199284,58.9,716492,26.5,454525,22.3,23535,0.9,17856,0.9,208056,7.7,152508,7.5,15456,0.6,11283,0.6,191047,7.1,154572,7.6,79132,2.9,42430,2.1,4740,0.2,3059,0.2,6,2.94765408493e-06,130.0,233.0
New Hampshire,1316455,80800,51628013,39.2,1029221,47.6,962920,48.2,198198.0,15.1,84.9,New Hampshire,us-nh,NH,340511.0,331237.0,677738.0,50.2,48.9,1.3,1.3,False,democrat,384826.0,316534.0,710970.0,54.1,44.5,9.6,9.6,False,democrat,369561.0,329918.0,"11,493",710972.0,52.0,46.4,5.6,5.6,False,democrat,744296.0,348526.0,345790.0,30777.0,46.8,46.5,0.3,0.3,False,democrat,0,1215039,92.3,962920,93.6,36702,2.8,22932,2.2,2693,0.2,2124,0.2,13624,1.0,9435,0.9,329,0.0,264,0.0,28240,2.1,20821,2.0,18025,1.4,9488,0.9,1803,0.1,1237,0.1,4,3.88643449755e-06,171.0,461.0
New Jersey,8791768,80800,335531361,38.2,6726554,47.2,4149478,50.2,1428908.0,16.3,83.7,New Jersey,us-nj,NJ,1911430.0,1670003.0,3611691.0,52.9,46.2,6.7,6.7,False,democrat,2215422.0,1613207.0,3868237.0,57.3,41.7,15.6,15.6,False,democrat,2125101.0,1477568.0,"37,623",3640292.0,58.4,40.6,17.8,17.8,False,democrat,3874046.0,2148278.0,1601933.0,72477.0,55.5,41.4,14.1,14.1,False,democrat,0,5214790,59.3,4149478,61.7,1555134,17.7,1094133,16.3,12226,0.1,8783,0.1,1125381,12.8,832736,12.4,1963,0.0,1563,0.0,719824,8.2,546291,8.1,134840,1.5,74752,1.1,27610,0.3,18818,0.3,14,2.08130344304e-06,92.0,71.0
New Mexico,2059155,80800,76307939,37.1,1540483,46.7,697839,51.0,839042.0,40.7,59.3,New Mexico,us-nm,NM,370942.0,376930.0,756304.0,49.0,49.8,-0.8,0.8,True,republican,472422.0,346832.0,830158.0,56.9,41.8,15.1,15.1,False,democrat,415335.0,335788.0,"32,635",783758.0,53.0,42.8,10.2,10.2,False,democrat,798318.0,385234.0,319666.0,74541.0,48.3,40.0,8.3,8.3,False,democrat,1,833801,40.5,697839,45.3,953392,46.3,651315,42.3,175364,8.5,121958,7.9,35462,1.7,27453,1.8,1246,0.1,987,0.1,26305,1.3,20956,1.4,29835,1.4,17342,1.1,3750,0.2,2633,0.2,5,3.24573526615e-06,143.0,308.0
